question,query
Kalkış tarihi 19/05/2022 13:00 olan uçuşların numaralarını bul.,SELECT numara WHERE kalkis_tarihi EQL 19/05/2022 13:00
Veritabanındaki kalkış tarihi 19/05/2022 13:00 olan uçuşların mesafelerini yazdır.,SELECT mesafe WHERE kalkis_tarihi EQL 19/05/2022 13:00
Veritabanındaki numarası 1 olan telefonların çip modellerini yazdır.,SELECT cip_modeli WHERE numara EQL 1
Numarası 1 olan uçakların toplam yolcularını listele.,SELECT toplam_yolcu WHERE numara EQL 1
Numarası TK1919 olan uçuşların kalkış tarihlerini getir.,SELECT kalkis_tarihi WHERE kod EQL TK1919
Numarası 1 olan öğretmenlerin yaşlarını listele.,SELECT yas WHERE numara EQL 1
Telefonların numaralarını göster.,SELECT numara
Demiryolları tablosu içerisinde bulunan kurucuları ekrana getir.,SELECT kurucu
Proje tablosu içerisinde bulunan numaraları ekrana getir.,SELECT numara
Yayınlar tablosundan numarası 1 olan yayınların yayıncılarını getir.,SELECT yayinci WHERE numara EQL 1
Yayıncısı Elsevier olan yayınların yayıncılarını getir.,SELECT yayinci WHERE yayinci EQL Elsevier
Hastalar tablosundan sigortası MAPFRE olan hastaların telefonlarını getir.,SELECT telefon WHERE sigorta EQL MAPFRE
Çiftliklerden koyun sayısı 5 olan çiftliklerin keçi sayılarını getir.,SELECT keci_sayisi WHERE koyun_sayisi EQL 5
Kilosu 82 olan insanların numaralarını bul.,SELECT numara WHERE kilo EQL 82
Havalimanları içerisinde en yüksek iç yolcu kaçtır?,SELECT max(ic_yolcu)
Veritabanındaki kategorisi Roman olan kitapların kategorilerini yazdır.,SELECT kategori WHERE kategori EQL Roman
Tüm mağazaların açılış yıllarını görüntüle.,SELECT acilis_yili
Insanlar tablosundan adı Michael olan insanların adlarını getir.,SELECT ad WHERE ad EQL Michael
Sürücülerden uyruğu Ingiliz olan sürücülerin numaralarını göster.,SELECT numara WHERE uyruk EQL Ingiliz
Veritabanındaki inek sayısı 10 olan çiftliklerin boğa sayılarını yazdır.,SELECT boga_sayisi WHERE inek_sayisi EQL 10
Sürücüler tablosundan numarası 20202020 olan sürücülerin tiplerini getir.,SELECT tip WHERE kod EQL 20202020
Stadyumlardan numarası 1 olan stadyumların kapasitelerini getir.,SELECT kapasite WHERE numara EQL 1
Insanlardan kilosu 82 olan insanların kilolarını getir.,SELECT kilo WHERE kilo EQL 82
Hemşireler tablosundaki en büyük numarayı göster.,SELECT max(numara)
Veritabanındaki toplam uçağı 660 olan havalimanlarının toplam uçaklarını yazdır.,SELECT toplam_ucak WHERE toplam_ucak EQL 660
Koyun sayısı 5 olan çiftliklerin koyun sayılarını bul.,SELECT koyun_sayisi WHERE koyun_sayisi EQL 5
Öğrencilerden cinsiyeti Erkek olan öğrencilerin şehirlerini göster.,SELECT sehir WHERE cinsiyet EQL Erkek
Numarası 1 olan konferansların numaralarını getir.,SELECT numara WHERE numara EQL 1
Yayınlardan numarası 1 olan yayınların yıllarını göster.,SELECT yil WHERE numara EQL 1
Numarası 1 olan şarkıların ülkelerini bul.,SELECT ulke WHERE numara EQL 1
Yayınlar tablosundaki en büyük numarayı getir.,SELECT max(numara)
Personellerden en büyük numarayı getir.,SELECT max(numara)
Sürücüler tablosunda adı Thomas olan sürücülerin uyruklarını getir.,SELECT uyruk WHERE ad EQL Thomas
Konumu Omaha - Nebraska - ABD olan demiryollarının konumlarını getir.,SELECT konum WHERE konum EQL Omaha - Nebraska - ABD
Adı Burger King olan restoranların numaralarını listele.,SELECT numara WHERE ad EQL Burger King
Yöneticilerden en büyük yaşı getir.,SELECT max(yas)
Veritabanındaki uyruğu Ingiliz olan sürücülerin numaralarını yazdır.,SELECT numara WHERE uyruk EQL Ingiliz
Numarası 1 olan tüm uçakların açıklamalarını getir.,SELECT aciklama WHERE numara EQL 1
Numarası 1 olan öğrencilerin cinsiyetlerini listele.,SELECT cinsiyet WHERE numara EQL 1
Veritabanındaki çip modeli A15 olan telefonların modellerini yazdır.,SELECT model WHERE cip_modeli EQL A15
Uçuşlar tablosundan numarası TK1919 olan uçuşların varış tarihlerini getir.,SELECT varis_tarihi WHERE kod EQL TK1919
Veritabanındaki yılı 2021 olan yayınların yıllarını yazdır.,SELECT yil WHERE yil EQL 2021
Veritabanındaki ülkesi Almanya olan arabaların numaralarını yazdır.,SELECT numara WHERE ulke EQL Almanya
Sürücülerden tipi B olan sürücülerin uyruklarını göster.,SELECT uyruk WHERE tip EQL B
Departmanlar tablosundaki en büyük numarayı getir.,SELECT max(numara)
Tüm yüzücülerin uyruklarını görüntüle.,SELECT uyruk
Çiftlik tablosu içerisinde bulunan at sayılarını ekrana getir.,SELECT at_sayisi
Hastalar tablosundan sigortası MAPFRE olan hastaların adlarını getir.,SELECT ad WHERE sigorta EQL MAPFRE
Köprülerden numarası 1 olan köprülerin adlarını getir.,SELECT ad WHERE numara EQL 1
Bütün demiryollarının kurucularını getir.,SELECT kurucu
En büyük departman numarasını getir.,SELECT max(numara)
Tüm yüzücüleri say.,SELECT count(numara)
Numarası 1 olan sürücülerin numaralarını listele.,SELECT numara WHERE numara EQL 1
Oyuncular tablosunda adı Matthew Carter olan oyuncuların uyruklarını getir.,SELECT uyruk WHERE ad EQL Matthew Carter
Veritabanındaki çıkış tarihi 1900 olan şarkıların türlerini yazdır.,SELECT tur WHERE cikis_tarihi EQL 1900
Toplamda kaç hemşire olduğunu göster.,SELECT count(numara)
Şarkıların türlerini getir.,SELECT tur
Öğrenciler tablosundan şehiri New York olan öğrencilerin cinsiyetlerini getir.,SELECT cinsiyet WHERE sehir EQL New York
Tüm oyunların numaralarını görüntüle.,SELECT numara
Numarası 1 olan çiftliklerin boğa sayılarını bul.,SELECT boga_sayisi WHERE numara EQL 1
Yarışlardan tarihi 01/04/2005 olan yarışların turlarını göster.,SELECT tur WHERE tarih EQL 01/04/2005
Veritabanındaki adı Istanbul Sabiha Gokcen Havalimani olan havalimanlarının uluslararası yolcularını yazdır.,SELECT uluslararasi_yolcu WHERE ad EQL Istanbul Sabiha Gokcen Havalimani
Alıntısı 29 olan yayınların yayıncılarını listele.,SELECT yayinci WHERE alinti EQL 29
Miktarı 100 olan tüm stokların numaralarını getir.,SELECT numara WHERE miktar EQL 100
Hemşireler tablosundan adı Lisa olan hemşirelerin pozisyonlarını getir.,SELECT pozisyon WHERE ad EQL Lisa
Yüzücüler tablosunda numarası 1 olan yüzücülerin numaralarını getir.,SELECT numara WHERE numara EQL 1
Kapasitesi 99354 olan stadyumların adlarını getir.,SELECT ad WHERE kapasite EQL 99354
Uçuşlar tablosunda mesafesi 350 olan uçuşların kalkış tarihlerini getir.,SELECT kalkis_tarihi WHERE mesafe EQL 350
Uçuşlar tablosunda kalkış tarihi 19/05/2022 13:00 olan uçuşların başlangıçlarını getir.,SELECT baslangic WHERE kalkis_tarihi EQL 19/05/2022 13:00
Kitaplar tablosundan numarası 1 olan kitapların yazarlarını getir.,SELECT yazar WHERE numara EQL 1
Tüm sinemaların kapasitelerini görüntüle.,SELECT kapasite
Cinsiyeti Erkek olan çalışanların maaşlarını getir.,SELECT maas WHERE cinsiyet EQL Erkek
En büyük şarkı numarasını getir.,SELECT max(numara)
Alanı 5343 olan şehirlerin nüfuslarını bul.,SELECT nufus WHERE alan EQL 5343
Şarkılar içerisinde en yüksek numara kaçtır?,SELECT max(numara)
Çalışan tablosu içerisinde bulunan adları ekrana getir.,SELECT ad
Personellerden cinsiyeti Male olan personellerin cinsiyetlerini göster.,SELECT cinsiyet WHERE cinsiyet EQL Male
Düzeyi 5 olan yöneticilerin adlarını bul.,SELECT ad WHERE duzey EQL 5
Çiftlikler tablosundan koyun sayısı 5 olan çiftliklerin boğa sayılarını getir.,SELECT boga_sayisi WHERE koyun_sayisi EQL 5
Sanatçılardan ülkesi Fransa olan sanatçıların ülkelerini göster.,SELECT ulke WHERE ulke EQL Fransa
Sürücülerden adı Thomas olan sürücülerin tiplerini getir.,SELECT tip WHERE ad EQL Thomas
Numarası 1 olan tüm şehirlerin alanlarını getir.,SELECT alan WHERE numara EQL 1
Cinsiyeti Erkek olan öğrencilerin adlarını listele.,SELECT ad WHERE cinsiyet EQL Erkek
Oyuncu tablosu içerisinde bulunan adları ekrana getir.,SELECT ad
Veritabanındaki tüm trenlerin varışlarını yazdır.,SELECT varis
Stadyum tablosu içerisinde bulunan adları ekrana getir.,SELECT ad
Bütün stadyumların numaralarını göster.,SELECT numara
Başlangıç tarihi 05/06/2018 olan tüm projelerin adlarını getir.,SELECT ad WHERE baslangic_tarihi EQL 05/06/2018
Ekran modu Big olan telefonların modellerini listele.,SELECT model WHERE ekran_modu EQL Big
Bütün sinemaların kapasitelerini göster.,SELECT kapasite
Çıkış tarihi 1900 olan şarkıların adlarını getir.,SELECT ad WHERE cikis_tarihi EQL 1900
Şarkılar tablosunda çıkış tarihi 1900 olan şarkıların ülkelerini getir.,SELECT ulke WHERE cikis_tarihi EQL 1900
Toplam sinema sayısını göster.,SELECT count(numara)
Telefonlar tablosundan çip modeli A15 olan telefonların çip modellerini getir.,SELECT cip_modeli WHERE cip_modeli EQL A15
Nüfusu 15000000 olan şehirlerin numaralarını listele.,SELECT numara WHERE nufus EQL 15000000
Yayınlar tablosunda yayıncısı Elsevier olan yayınların yayıncılarını getir.,SELECT yayinci WHERE yayinci EQL Elsevier
Bütün oyunların numaralarını getir.,SELECT numara
Veritabanındaki numarası 1 olan öğretmenlerin yaşlarını yazdır.,SELECT yas WHERE numara EQL 1
Açılış yılı 2010 olan müzelerin adlarını bul.,SELECT ad WHERE acilis_yili EQL 2010
Bütün oyunların kategorilerini göster.,SELECT kategori
Numarası 1 olan tüm konferansların numaralarını getir.,SELECT numara WHERE numara EQL 1
Tüm şarkıların sadece sanatçılarını göster.,SELECT sanatci
Şarkılardan türü Slow olan şarkıların adlarını göster.,SELECT ad WHERE tur EQL Slow
Dili Turkce olan şarkıların türlerini bul.,SELECT tur WHERE dil EQL Turkce
Köprüler tablosundan numarası 1 olan köprülerin uzunluklarını getir.,SELECT uzunluk WHERE numara EQL 1
Veritabanındaki başlangıcı Istanbul olan uçuşların varış tarihlerini yazdır.,SELECT varis_tarihi WHERE baslangic EQL Istanbul
Çalışan tablosu içerisinde bulunan maaşları ekrana getir.,SELECT maas
Yaşı 16 olan öğrencilerin soyadlarını bul.,SELECT soyad WHERE yas EQL 16
Yarışlar tablosunda tarihi 01/04/2005 olan yarışların tarihlerini getir.,SELECT tarih WHERE tarih EQL 01/04/2005
Hemşirelerden pozisyonu Clinical Nurse olan hemşirelerin adlarını getir.,SELECT ad WHERE pozisyon EQL Clinical Nurse
Veritabanındaki oyunların sayısını yazdır.,SELECT count(numara)
Veritabanındaki personellerin sayısını yazdır.,SELECT count(numara)
Numarası 1 olan çalışanların adlarını bul.,SELECT ad WHERE numara EQL 1
Stadyumlar tablosunda numarası 1 olan stadyumların adlarını getir.,SELECT ad WHERE numara EQL 1
Veritabanındaki numarası 1 olan ürünlerin fiyatlarını yazdır.,SELECT fiyat WHERE numara EQL 1
Çalışanlar tablosundaki en büyük maaşı getir.,SELECT max(maas)
Veritabanındaki adı Richard olan öğretmenlerin adlarını yazdır.,SELECT ad WHERE ad EQL Richard
Tüm insanların sadece doğum tarihlerini göster.,SELECT dogum_tarihi
Stadyum tablosu içinde kaç tane stadyum kaydı olduğunu ekrana getir.,SELECT count(numara)
Sürücülerden tipi B olan sürücülerin soyadlarını göster.,SELECT soyad WHERE tip EQL B
Veritabanındaki adı Burger King olan restoranların tiplerini yazdır.,SELECT tip WHERE ad EQL Burger King
Uçuşlardan kalkış tarihi 19/05/2022 13:00 olan uçuşların varış tarihlerini göster.,SELECT varis_tarihi WHERE kalkis_tarihi EQL 19/05/2022 13:00
Kulüplerden en büyük numarayı getir.,SELECT max(numara)
Telefonlar içerisinde en yüksek numara kaçtır?,SELECT max(numara)
Sigortası MAPFRE olan hastaların sigortalarını getir.,SELECT sigorta WHERE sigorta EQL MAPFRE
Yöneticilerden yaşı 30 olan yöneticilerin numaralarını getir.,SELECT numara WHERE yas EQL 30
Kitap sayısını getir.,SELECT count(numara)
Stadyumlar tablosundan adı Camp Nou olan stadyumların kapasitelerini getir.,SELECT kapasite WHERE ad EQL Camp Nou
Öğrencilerden numarası 1 olan öğrencilerin soyadlarını getir.,SELECT soyad WHERE numara EQL 1
Veritabanındaki tüm cihazların versiyonlarını yazdır.,SELECT versiyon
Müzelerden numarası 1 olan müzelerin numaralarını göster.,SELECT numara WHERE numara EQL 1
Alıntısı 29 olan yayınların yıllarını getir.,SELECT yil WHERE alinti EQL 29
Kalkış tarihi 19/05/2022 13:00 olan tüm uçuşların numaralarını getir.,SELECT numara WHERE kalkis_tarihi EQL 19/05/2022 13:00
Pilotlar tablosundaki en büyük yaşı göster.,SELECT max(yas)
Öğretmenlerden yaşı 36 olan öğretmenlerin adlarını göster.,SELECT ad WHERE yas EQL 36
Numarası 1 olan cihazların numaralarını bul.,SELECT numara WHERE numara EQL 1
Tüm yöneticilerin düzeylerini getir.,SELECT duzey
Demiryolları tablosundan konumu Omaha - Nebraska - ABD olan demiryollarının kurucularını getir.,SELECT kurucu WHERE konum EQL Omaha - Nebraska - ABD
Pilotlardan numarası 1 olan pilotların numaralarını getir.,SELECT numara WHERE numara EQL 1
Uçuşlardan mesafesi 350 olan uçuşların kalkış tarihlerini getir.,SELECT kalkis_tarihi WHERE mesafe EQL 350
Modeli Mercedes olan arabaların yıllarını bul.,SELECT yil WHERE model EQL Mercedes
Çalışanlar tablosundan adı William olan çalışanların soyadlarını getir.,SELECT soyad WHERE ad EQL William
Telefonlar tablosunda modeli iPhone olan telefonların numaralarını getir.,SELECT numara WHERE model EQL iPhone
Veritabanındaki yılı 2021 olan yayınların başlıklarını yazdır.,SELECT baslik WHERE yil EQL 2021
Numarası 1 olan yüzücülerin uyruklarını bul.,SELECT uyruk WHERE numara EQL 1
Kaç yayın var?,SELECT count(numara)
Telefonlar tablosunda ülkesi Amerika olan telefonların ekran modlarını getir.,SELECT ekran_modu WHERE ulke EQL Amerika
Veritabanındaki numarası 1 olan insanların doğum tarihlerini yazdır.,SELECT dogum_tarihi WHERE numara EQL 1
Müzelerden numarası 1 olan müzelerin numaralarını getir.,SELECT numara WHERE numara EQL 1
Modeli Mercedes olan tüm arabaların numaralarını getir.,SELECT numara WHERE model EQL Mercedes
Şarkılardan sanatçısı Muzeyyen Senar olan şarkıların ülkelerini göster.,SELECT ulke WHERE sanatci EQL Muzeyyen Senar
En büyük köprü uzunluğunu listele.,SELECT max(uzunluk)
Toplamda kaç yayın olduğunu göster.,SELECT count(numara)
Tüm oyunların adlarını listele.,SELECT ad
Numarası 1 olan müşterilerin kodlarını listele.,SELECT kod WHERE numara EQL 1
Çiftliklerden numarası 1 olan çiftliklerin at sayılarını göster.,SELECT at_sayisi WHERE numara EQL 1
En büyük stadyum kapasitesini getir.,SELECT max(kapasite)
Müşteriler tablosunda şehiri Istanbul olan müşterilerin kodlarını getir.,SELECT kod WHERE sehir EQL Istanbul
Telefonu 2122121212 olan müşterilerin e-postalarını bul.,SELECT eposta WHERE telefon EQL 2122121212
Ekran modu Big olan telefonların ülkelerini getir.,SELECT ulke WHERE ekran_modu EQL Big
Personel tablosu içerisinde bulunan soyadları ekrana getir.,SELECT soyad
Numarası 1 olan restoranların adlarını bul.,SELECT ad WHERE numara EQL 1
Yöneticilerden düzeyi 5 olan yöneticilerin yaşlarını göster.,SELECT yas WHERE duzey EQL 5
Numarası 1 olan insanların boylarını getir.,SELECT boy WHERE numara EQL 1
Öğretmenlerden adı Richard olan öğretmenlerin yaşlarını getir.,SELECT yas WHERE ad EQL Richard
Stadyumlar tablosundan adı Camp Nou olan stadyumların adlarını getir.,SELECT ad WHERE ad EQL Camp Nou
Sürücüler tablosunda numarası 1 olan sürücülerin soyadlarını getir.,SELECT soyad WHERE numara EQL 1
Numarası 20202020 olan sürücülerin uyruklarını bul.,SELECT uyruk WHERE kod EQL 20202020
Tüm şehirlerin sadece numaralarını göster.,SELECT numara
Adı Pazarlama olan departmanların adlarını getir.,SELECT ad WHERE ad EQL Pazarlama
Veritabanındaki açılış yılı 1957 olan stadyumların açılış yıllarını yazdır.,SELECT acilis_yili WHERE acilis_yili EQL 1957
Veritabanındaki tüm kitapların numaralarını yazdır.,SELECT numara
Sinemalar tablosundan numarası 1 olan sinemaların yerlerini getir.,SELECT yer WHERE numara EQL 1
Uçuşlar tablosundan başlangıcı Istanbul olan uçuşların kalkış tarihlerini getir.,SELECT kalkis_tarihi WHERE baslangic EQL Istanbul
Veritabanındaki şehiri New York olan öğrencilerin numaralarını yazdır.,SELECT numara WHERE sehir EQL New York
Çiftliklerden inek sayısı 10 olan çiftliklerin domuz sayılarını getir.,SELECT domuz_sayisi WHERE inek_sayisi EQL 10
Müşterilerin numaralarını getir.,SELECT numara
Tüm müzelerin numaralarını görüntüle.,SELECT numara
Toplam uçağı 660 olan havalimanlarının numaralarını bul.,SELECT numara WHERE toplam_ucak EQL 660
Restoranlardan tipi Fast Food olan restoranların numaralarını göster.,SELECT numara WHERE tip EQL Fast Food
